98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
100,5965
98,10000
98,10000
98,10000
100,2669
98,10000
98,10000
98,10000
100,3573
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
100,6142
98,10000
100,5410
98,10000
100,4247
98,10000
100,3969
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
100,6996
98,10000
100,4115
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
100,6833
98,10000
98,10000
98,10000
98,10000
98,10000
98,10000
100,5282
100,1436
98,10000
98,10000
98,10000
98,10000
